waterid,origWaterid,demtarea,rchname,station_id,station_name,staid,sitedata.demtarea.class,Obs,predict,Obsyield,predictYield,Resids,standardResids,leverage,leverageCrit,CooksD,CooksDpvalue,boot_resid,weight,tiareakm2,pResids,ratio.obs.pred,pratio.obs.pred,xlat,xlon,sitedata...which.names.sitedata...in..add_vars..
202,145975,49.3056,NA,NA,Brushy Creek at Gunn Hwy,1,49,453.23576266,64.3984220448921,9.19237901293159,1.30610766413738,1.95132330706873,2.80998433903481,0.0257971638372271,0.03125,0.0149349005663581,0.999999999995048,1.97699029376276,NA,49.3056,1.95202902606287,7.03799484937767,7.0429634490349,28.06565,-82.55524,NA
203,145974,49.059,NA,NA,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,2,49,2.587228664,72.5713154887022,0.0527370852239141,1.47926609773339,-3.33398245135714,-4.78360170032004,0.0186694466812368,0.03125,0.0310955407461386,0.999999998911984,-3.365546917606,NA,49.059,-3.33344267169406,0.0356508442292572,0.0356700930245307,28.06585014,-82.56565243,NA
519,145751,254.7864,NA,NA,BLACKWATER CREEK NEAR KNIGHTS FL,3,291,695.08075278,2302.41095304977,2.72809205193056,9.03663206925396,-1.19768406348778,-1.71316383280091,0.0126173952010656,0.03125,0.00267888452402411,1,-1.2053121513966,NA,254.7864,-1.19745375114036,0.301892566945661,0.301962104538796,28.14056981,-82.1498072,NA
521,145733,171.3213,NA,NA,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,4,171,49.169476171,365.055257581221,0.287001535541699,2.1308223646518,-2.00477570481735,-2.87002232768264,0.014265957773125,0.03125,0.00851498121433765,0.999999999999924,-2.01923057217462,NA,171.3213,-2.00379914231735,0.134690502738644,0.134822100679074,28.18556681,-82.1839736,NA
532,145743,291.0339,NA,NA,HillsboroughBlackwater Creek1501,5,291,627.01642034,1075.99787013518,2.15444462085001,3.69715648292238,-0.540031032261471,-0.768604915560811,0.00269075958016882,0.03125,0.000113847456369532,1,-0.540759048615909,NA,36.2475,-1.37903697937451,0.582730168658441,0.251820945090814,28.146,-82.1711666,NA
544,145871,503.6427,NA,NA,Hillsborough River at US 301 bridge,6,538,1004.1556992,872.797630852126,1.99378587081675,1.73296988291923,0.140198647019876,0.199511754950474,0.00241619034157039,0.03125,6.88637539750073e-06,1,0.140368327876213,NA,41.2875,-1.07500940656899,1.15050232001618,0.341294544875212,28.1502778,-82.2211111,NA
557,145941,538.2702,NA,NA,HILLSBOROUGH RIVER NEAR ZEPHYRHILLS FL,7,538,786.73650928,1230.78266564799,1.46160145830105,2.28655174603385,-0.447512171146174,-0.636499462681557,0.00135221083420283,0.03125,3.91832191745242e-05,1,-0.447815043744647,NA,34.6275,-1.36685468899896,0.639216436206302,0.254907463224679,28.15001267,-82.23230876,NA
601,145889,948.6135,NA,NA,HILLSBOROUGH R AT MORRIS BR NEAR THONOTOSASSA FL,8,977,935.12232398,2772.48892545928,0.985778005457439,2.92267496241544,-1.08682337627491,-1.55116216415779,0.00824988192933836,0.03125,0.00142965695829811,1,-1.09133438930315,NA,410.3433,-1.56695357189258,0.337286225165026,0.208679943434239,28.09751561,-82.3123123,NA
744,146079,48.393,NA,NA,Delaney Creek at US 41,9,49,225.8205064,63.3099308300524,4.66638783295105,1.30824563118741,1.27169826224803,1.836888811088,0.0317195958249368,0.03125,0.00789521941485037,0.999999999999956,1.29235999638694,NA,48.393,1.27224996284007,3.56690496165897,3.56887336817366,27.915,-82.4022222,NA
888,145585,310.203,NA,NA,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,10,310,12520.458944,22447.0013786298,40.3621465427478,72.3622962338528,-0.583793014517401,-0.850963220987377,0.0491873905343183,0.03125,0.00267579227178489,1,-0.598702990928055,NA,310.203,-0.585903495779608,0.557778686462764,0.556602746332813,27.8839148,-82.10008689,NA
900,145580,686.349,NA,NA,HillsboroughAlafia River2151,11,916,11447.966336,16199.3766583822,16.6795119334333,23.6022441329151,-0.347160661971554,-0.494093624340777,0.00266458598891906,0.03125,4.65885252898533e-05,1,-0.347624108064354,NA,380.6946,-0.781997049605831,0.706691780641843,0.457491465261893,27.86,-82.14,NA
925,145573,836.9532,NA,NA,ALAPHIA RIVER AT LITHIA,12,916,14778.17905,18079.6057064981,17.6571151768104,21.6016925516243,-0.20163284218104,-0.287726850027065,0.0078884945633453,0.03125,4.7018242449498e-05,1,-0.202432868346101,NA,150.6042,-0.706654891131235,0.81739498581479,0.493291554584504,27.8719425,-82.211383,NA
937,145582,916.0461,NA,NA,Alafia River at Bell Shoals Road,13,916,12499.542761,14393.4936727226,13.6451023163572,15.7126302625191,-0.141084211674421,-0.200586858408354,0.000574092159938873,0.03125,1.65085120080228e-06,1,-0.14112472678972,NA,79.0929,-0.812662618962019,0.868416177837919,0.44367515422123,27.8577778,-82.2688889,NA
949,145571,977.4585,NA,NA,Alafia River upstream of Buckhorn Springs,14,977,6610.8817262,11865.2541734403,6.76333749842065,12.1388828000783,-0.584897274041037,-0.831497378862902,0.000377206860901726,0.03125,1.86353333792238e-05,1,-0.58500761889149,NA,61.4124,-1.39219879534231,0.557163093985637,0.24852824067321,27.884933,-82.30665,NA
976,146247,1019.7936,NA,NA,Alafia River at US 301,15,1034,9362.2329384,6289.38311447149,9.18051744823659,6.16730985022017,0.397820831941147,0.565518232778581,0.000275019271653657,0.03125,6.2841677655083e-06,1,0.397875547424989,NA,42.3351,-0.982666610075455,1.48857730050791,0.374311623691295,27.8691,-82.3264,NA
